dates;spei01;prov
15/02/1957;1.6;BIVG
16/03/1957;-1.3;BIVG
16/04/1957;-0.9;BIVG
16/05/1957;-0.5;BIVG
16/06/1957;1.4;BIVG
16/07/1957;0.9;BIVG
16/08/1957;0.3;BIVG
16/09/1957;0.2;BIVG
16/10/1957;-1;BIVG
16/11/1957;-1;BIVG
16/12/1957;-0.6;BIVG
16/01/1958;0.4;BIVG
15/02/1958;0.9;BIVG
16/03/1958;0.5;BIVG
16/04/1958;0;BIVG
16/05/1958;0.9;BIVG
16/06/1958;1;BIVG
16/07/1958;0.9;BIVG
16/08/1958;1.2;BIVG
16/09/1958;0.6;BIVG
16/10/1958;0.6;BIVG
16/11/1958;-0.4;BIVG
16/12/1958;1.3;BIVG
16/01/1959;1.1;BIVG
15/02/1959;-2.2;BIVG
16/03/1959;0;BIVG
16/04/1959;0.9;BIVG
16/05/1959;-1.7;BIVG
16/06/1959;0.3;BIVG
16/07/1959;-1.7;BIVG
16/08/1959;-0.5;BIVG
16/09/1959;-1.7;BIVG
16/10/1959;-0.2;BIVG
16/11/1959;0;BIVG
16/12/1959;0.3;BIVG
16/01/1960;0.4;BIVG
15/02/1960;0.2;BIVG
16/03/1960;-0.2;BIVG
16/04/1960;-1;BIVG
16/05/1960;-1;BIVG
16/06/1960;0;BIVG
16/07/1960;1.3;BIVG
16/08/1960;1.7;BIVG
16/09/1960;1.5;BIVG
16/10/1960;2.1;BIVG
16/11/1960;0.2;BIVG
16/12/1960;-0.2;BIVG
16/01/1961;0.8;BIVG
15/02/1961;-0.5;BIVG
16/03/1961;-1.7;BIVG
16/04/1961;0;BIVG
16/05/1961;-0.6;BIVG
16/06/1961;-0.5;BIVG
16/07/1961;0.7;BIVG
16/08/1961;-0.7;BIVG
16/09/1961;-1.4;BIVG
16/10/1961;0.7;BIVG
16/11/1961;-0.1;BIVG
16/12/1961;0.3;BIVG
16/01/1962;0.5;BIVG
15/02/1962;0.3;BIVG
16/03/1962;1.4;BIVG
16/04/1962;0.3;BIVG
16/05/1962;1.3;BIVG
16/06/1962;-1.8;BIVG
16/07/1962;-0.5;BIVG
16/08/1962;-1.4;BIVG
16/09/1962;-0.4;BIVG
16/10/1962;-1;BIVG
16/11/1962;-0.1;BIVG
16/12/1962;1.2;BIVG
