dates,spei01,provenance
1960-03-16,-0.2,BIVG
1960-04-16,-1,BIVG
1960-05-16,-1,BIVG
1960-06-16,0,BIVG
1960-07-16,1.3,BIVG
1960-08-16,1.7,BIVG
1960-09-16,1.5,BIVG
1960-10-16,2.1,BIVG
1960-11-16,0.2,BIVG
1960-12-16,-0.2,BIVG
1961-01-16,0.8,BIVG
1961-02-15,-0.5,BIVG
1961-03-16,-1.7,BIVG
1961-04-16,0,BIVG
1961-05-16,-0.6,BIVG
1961-06-16,-0.5,BIVG
1961-07-16,0.7,BIVG
1961-08-16,-0.7,BIVG
1961-09-16,-1.4,BIVG
1961-10-16,0.7,BIVG
1961-11-16,-0.1,BIVG
1961-12-16,0.3,BIVG
1962-01-16,0.5,BIVG
1962-02-15,0.3,BIVG
1962-03-16,1.4,BIVG
1962-04-16,0.3,BIVG
1962-05-16,1.3,BIVG
1962-06-16,-1.8,BIVG
1962-07-16,-0.5,BIVG
1962-08-16,-1.4,BIVG
1962-09-16,-0.4,BIVG
1962-10-16,-1,BIVG
1962-11-16,-0.1,BIVG
1962-12-16,1.2,BIVG
1963-01-16,-0.6,BIVG
1963-02-15,0.1,BIVG
1963-03-16,1,BIVG
1963-04-16,-0.1,BIVG
1963-05-16,0.3,BIVG
1963-06-16,1.6,BIVG
1963-07-16,-0.5,BIVG
1963-08-16,1.9,BIVG
1963-09-16,-0.5,BIVG
1963-10-16,-0.8,BIVG
1963-11-16,0.7,BIVG
1963-12-16,-1.7,BIVG
1964-01-16,-0.7,BIVG
1964-02-15,-0.8,BIVG
1964-03-16,1.2,BIVG
1964-04-16,0.2,BIVG
1964-05-16,-0.9,BIVG
1964-06-16,-1.3,BIVG
1964-07-16,-1.2,BIVG
1964-08-16,0.1,BIVG
1964-09-16,0,BIVG
1964-10-16,-0.3,BIVG
1964-11-16,-1.6,BIVG
1964-12-16,-0.9,BIVG
1965-01-16,0.7,BIVG
1965-02-15,-0.9,BIVG
1965-03-16,1.1,BIVG
1965-04-16,0.6,BIVG
1965-05-16,1.1,BIVG
1965-06-16,0,BIVG
1965-07-16,1.3,BIVG
1965-08-16,0.7,BIVG
1965-09-16,2.5,BIVG
1965-10-16,-1.6,BIVG
1965-11-16,1,BIVG
1965-12-16,1.9,BIVG
1966-01-16,0.7,BIVG
1966-02-15,0.9,BIVG
1966-03-16,-0.2,BIVG
1966-04-16,0.5,BIVG
1966-05-16,-0.1,BIVG
1966-06-16,0,BIVG
1966-07-16,1.1,BIVG
1966-08-16,0.9,BIVG
1966-09-16,-1.4,BIVG
1966-10-16,0.1,BIVG
1966-11-16,0.5,BIVG
1966-12-16,1.3,BIVG
1967-01-16,-0.5,BIVG
1967-02-15,0.1,BIVG
1967-03-16,-0.3,BIVG
1967-04-16,-0.7,BIVG
1967-05-16,0.8,BIVG
1967-06-16,-0.7,BIVG
1967-07-16,-1.2,BIVG
1967-08-16,0.7,BIVG
1967-09-16,1.4,BIVG
1967-10-16,-0.6,BIVG
1967-11-16,0.4,BIVG
1967-12-16,0.2,BIVG
1968-01-16,1.4,BIVG
1968-02-15,0,BIVG
1968-03-16,-0.6,BIVG
1968-04-16,0,BIVG
1968-05-16,1.4,BIVG
1968-06-16,0,BIVG
1968-07-16,0.3,BIVG
1968-08-16,1.9,BIVG
1968-09-16,1.9,BIVG
1968-10-16,-0.7,BIVG
1968-11-16,0.2,BIVG
1968-12-16,0.9,BIVG
1969-01-16,-0.6,BIVG
1969-02-15,0.3,BIVG
1969-03-16,0.6,BIVG
1969-04-16,0.6,BIVG
1969-05-16,0.6,BIVG
1969-06-16,1.4,BIVG
1969-07-16,-0.8,BIVG
1969-08-16,0.3,BIVG
1969-09-16,-0.1,BIVG
1969-10-16,-1.8,BIVG
1969-11-16,0.4,BIVG
1969-12-16,0.1,BIVG
1970-01-16,0.7,BIVG
1970-02-15,2.3,BIVG
1970-03-16,1.1,BIVG
1970-04-16,1.3,BIVG
1970-05-16,-0.3,BIVG
1970-06-16,0.5,BIVG
1970-07-16,-0.1,BIVG
1970-08-16,0.7,BIVG
1970-09-16,-0.6,BIVG
1970-10-16,0.5,BIVG
1970-11-16,-0.6,BIVG
1970-12-16,-0.6,BIVG
1971-01-16,0.2,BIVG
1971-02-15,-0.9,BIVG
1971-03-16,0.8,BIVG
1971-04-16,-0.9,BIVG
1971-05-16,0.5,BIVG
1971-06-16,1.3,BIVG
1971-07-16,-0.9,BIVG
1971-08-16,0.5,BIVG
1971-09-16,-1.4,BIVG
1971-10-16,-1.8,BIVG
1971-11-16,0.7,BIVG
1971-12-16,-1.7,BIVG
1972-01-16,-0.1,BIVG
1972-02-15,1,BIVG
1972-03-16,-0.7,BIVG
1972-04-16,0.2,BIVG
